customer_id,segment,home_store_id,signup_date,loyalty_join_date
1,commuter,1,2026-01-29,
2,occasional,3,2025-10-19,
3,weekender,3,2025-10-29,2026-01-11
4,student,2,2025-04-08,
5,student,2,2025-08-01,2025-11-06
6,occasional,1,2025-05-05,
7,occasional,3,2025-01-22,
8,commuter,1,2025-12-02,2025-12-14
9,occasional,2,2026-03-01,2026-03-01
10,student,2,2025-06-10,2025-12-01
11,occasional,3,2025-05-27,
12,occasional,3,2026-02-23,
13,occasional,1,2026-02-13,
14,occasional,3,2026-01-19,2026-01-19
15,weekender,3,2025-09-05,2026-02-15
16,occasional,3,2025-08-16,
17,weekender,2,2025-07-22,
18,student,2,2025-01-13,
19,student,2,2025-08-30,2025-11-18
20,student,2,2025-08-31,2025-11-24
21,weekender,3,2025-01-03,
22,weekender,2,2025-07-31,
23,occasional,2,2025-02-20,
24,commuter,1,2025-10-18,2025-12-26
25,weekender,1,2025-07-26,
26,student,2,2025-09-28,2025-11-12
27,student,2,2025-02-15,2025-08-20
28,weekender,2,2025-04-14,
29,weekender,3,2025-03-22,
30,student,2,2025-02-23,2025-10-21
31,student,2,2025-06-06,2025-09-22
32,occasional,3,2025-04-12,
33,occasional,2,2026-05-17,
34,occasional,1,2026-02-18,
35,student,2,2025-12-10,2025-12-10
36,occasional,1,2025-11-19,
37,weekender,3,2025-03-15,
38,weekender,1,2025-09-20,2025-12-07
39,occasional,3,2025-07-06,
40,student,2,2025-10-24,2026-02-03
41,occasional,3,2025-10-10,
42,student,2,2025-03-25,2026-01-14
43,student,2,2025-07-01,2025-11-15
44,occasional,3,2025-12-05,
45,student,2,2025-09-17,
46,weekender,3,2025-07-25,2025-09-30
47,weekender,3,2025-08-28,
48,student,2,2025-02-14,
49,occasional,3,2025-05-05,
50,weekender,1,2025-10-11,
51,occasional,3,2026-02-10,
52,student,2,2025-03-11,2026-01-30
53,weekender,2,2025-08-31,2025-08-31
54,weekender,3,2025-01-07,
55,weekender,3,2025-09-17,2025-10-28
56,occasional,2,2025-07-05,
57,weekender,1,2025-05-04,
58,weekender,3,2025-07-27,
59,commuter,1,2025-01-08,
60,occasional,1,2025-04-02,
61,weekender,1,2025-03-03,
62,student,2,2026-04-01,2026-04-01
63,weekender,3,2025-03-18,
64,commuter,1,2025-11-20,2026-01-28
65,occasional,3,2026-02-02,
66,occasional,3,2025-04-26,
67,commuter,1,2025-01-12,2026-02-06
68,student,2,2026-01-11,
69,occasional,2,2025-01-20,
70,student,2,2025-09-16,
71,weekender,2,2026-03-08,2026-03-08
72,weekender,1,2026-05-22,
73,occasional,1,2025-09-20,2025-12-20
74,occasional,3,2025-03-14,
75,occasional,3,2025-02-01,
76,occasional,3,2025-12-02,
77,commuter,1,2025-05-13,2025-11-20
78,occasional,2,2025-11-27,
79,commuter,1,2025-04-07,2026-01-29
80,student,2,2025-12-26,2025-12-26
81,student,2,2026-05-25,
82,occasional,2,2025-01-11,
83,weekender,3,2026-01-02,
84,commuter,1,2026-04-22,2026-04-22
85,commuter,1,2025-06-24,2025-09-19
86,occasional,1,2025-08-04,
87,weekender,3,2025-10-26,
88,occasional,3,2025-08-23,
89,weekender,3,2025-12-25,2025-12-30
90,occasional,2,2025-04-27,2026-02-08
91,occasional,3,2026-04-13,
92,student,2,2026-04-26,2026-04-26
93,occasional,1,2025-06-11,
94,occasional,3,2025-10-18,
95,occasional,3,2025-11-27,
96,occasional,2,2025-05-02,
97,weekender,2,2026-05-16,
98,occasional,2,2025-03-25,
99,student,2,2025-12-06,
100,weekender,1,2026-02-28,
101,occasional,3,2025-06-16,2026-01-19
102,commuter,1,2026-04-15,2026-04-15
103,occasional,3,2025-09-20,
104,weekender,2,2025-04-28,2025-12-07
105,occasional,1,2025-06-17,
106,commuter,1,2026-04-17,2026-04-17
107,occasional,3,2025-09-05,
108,occasional,3,2026-01-01,
109,occasional,3,2025-11-24,
110,student,2,2025-03-22,
111,occasional,2,2025-10-09,
112,student,2,2025-09-07,
113,occasional,2,2025-10-03,
114,commuter,1,2025-06-16,2025-11-07
115,student,2,2025-06-11,2026-01-06
116,commuter,1,2025-09-09,2025-11-26
117,commuter,1,2025-02-19,2025-10-09
118,weekender,1,2025-10-02,2025-12-20
119,student,2,2025-10-02,
120,weekender,2,2026-03-16,2026-03-16
121,occasional,2,2026-01-31,
122,occasional,2,2025-01-30,
123,student,2,2026-01-07,2026-01-07
124,student,2,2025-09-01,2026-01-11
125,student,2,2026-03-02,
126,commuter,1,2026-05-02,
127,occasional,1,2026-01-10,
128,occasional,3,2026-02-24,
129,weekender,2,2025-10-19,2025-12-24
130,weekender,1,2026-04-22,2026-04-22
131,occasional,3,2025-03-03,
132,occasional,2,2025-07-30,
133,occasional,3,2025-05-22,
134,occasional,1,2025-09-25,
135,student,2,2025-11-05,2025-12-30
136,occasional,1,2025-10-22,
137,occasional,3,2025-07-02,2026-01-21
138,occasional,3,2025-12-24,
139,student,2,2026-03-19,
140,occasional,2,2026-04-28,
141,occasional,3,2025-07-30,
142,weekender,1,2025-03-24,
143,commuter,1,2026-04-26,
144,student,2,2025-03-07,2025-10-22
145,occasional,3,2025-09-09,
146,student,2,2026-03-07,
147,commuter,1,2026-04-17,
148,student,2,2025-01-17,2025-09-03
149,commuter,1,2025-05-05,2025-11-05
150,student,2,2025-06-27,2026-02-11
151,occasional,1,2025-01-04,
152,student,2,2025-06-08,
153,weekender,1,2025-11-23,
154,student,2,2025-02-13,
155,occasional,3,2026-03-01,
156,commuter,1,2026-03-24,
157,occasional,2,2026-04-09,
158,weekender,3,2025-08-12,
159,student,2,2026-04-21,
160,occasional,3,2025-03-14,
161,weekender,1,2025-12-28,
162,weekender,1,2025-07-24,2025-09-27
163,student,2,2025-09-27,
164,occasional,1,2026-03-24,
165,student,2,2025-10-09,2025-10-09
166,commuter,1,2026-03-07,2026-03-07
167,occasional,1,2026-04-10,
168,commuter,1,2025-02-15,
169,commuter,1,2025-05-01,
170,weekender,1,2025-09-22,2026-02-16
171,student,2,2025-01-13,
172,student,2,2025-10-09,
173,weekender,3,2026-02-17,2026-02-17
174,occasional,1,2025-11-14,
175,occasional,3,2025-08-01,
176,commuter,1,2025-02-19,
177,occasional,1,2025-02-13,
178,commuter,1,2025-06-08,
179,occasional,3,2025-08-04,
180,student,2,2025-08-07,
181,occasional,3,2026-03-16,2026-03-16
182,occasional,3,2025-11-26,2026-02-04
183,occasional,3,2025-12-18,
184,occasional,3,2025-04-18,
185,student,2,2026-01-17,
