month,orders,revenue,aov,mom_growth_pct,revenue_3mo_avg
2025-01-01,1874,12883.0,6.87,,12883.0
2025-02-01,4660,32254.0,6.92,150.4,22569.0
2025-03-01,8454,58495.0,6.92,81.4,34544.0
2025-04-01,11516,79060.0,6.87,35.2,56603.0
2025-05-01,15265,106046.0,6.95,34.1,81200.0
2025-06-01,18575,129512.0,6.97,22.1,104873.0
2025-07-01,22983,161715.0,7.04,24.9,132424.0
2025-08-01,26644,186446.0,7.0,15.3,159224.0
2025-09-01,30204,211543.0,7.0,13.5,186568.0
2025-10-01,35473,244267.0,6.89,15.5,214085.0
2025-11-01,39133,270914.0,6.92,10.9,242241.0
2025-12-01,45236,314479.0,6.95,16.1,276553.0
2026-01-01,50472,356043.0,7.05,13.2,313812.0
2026-02-01,50147,354477.0,7.07,-0.4,341667.0
2026-03-01,59733,423438.0,7.09,19.5,377986.0
2026-04-01,62258,438906.0,7.05,3.7,405607.0
2026-05-01,69947,495435.0,7.08,12.9,452593.0
2026-06-01,69332,492615.0,7.11,-0.6,475652.0
