store_name,month,revenue,orders,unique_customers,aov,yoy_growth_pct
Downtown,2025-01-01,4933.0,722,205,6.83,
Downtown,2025-02-01,12048.0,1740,441,6.92,
Downtown,2025-03-01,21455.0,3099,736,6.92,
Downtown,2025-04-01,30548.0,4442,999,6.88,
Downtown,2025-05-01,39382.0,5694,1234,6.92,
Downtown,2025-06-01,49111.0,6994,1552,7.02,
Downtown,2025-07-01,61671.0,8784,1806,7.02,
Downtown,2025-08-01,70455.0,10052,2136,7.01,
Downtown,2025-09-01,81246.0,11575,2373,7.02,
Downtown,2025-10-01,93791.0,13625,2727,6.88,
Downtown,2025-11-01,100802.0,14606,3017,6.9,
Downtown,2025-12-01,120383.0,17240,3325,6.98,
Downtown,2026-01-01,135562.0,19165,3630,7.07,2648.2
Downtown,2026-02-01,134727.0,19044,3721,7.07,1018.2
Downtown,2026-03-01,160132.0,22624,4220,7.08,646.4
Downtown,2026-04-01,170341.0,24107,4490,7.07,457.6
Downtown,2026-05-01,188104.0,26476,4838,7.1,377.6
Downtown,2026-06-01,190270.0,26793,4798,7.1,287.4
Parkside,2025-01-01,2627.0,373,181,7.04,
Parkside,2025-02-01,6430.0,944,423,6.81,
Parkside,2025-03-01,12562.0,1786,714,7.03,
Parkside,2025-04-01,16904.0,2476,981,6.83,
Parkside,2025-05-01,23312.0,3338,1237,6.98,
Parkside,2025-06-01,28529.0,4086,1560,6.98,
Parkside,2025-07-01,34636.0,4946,1852,7.0,
Parkside,2025-08-01,42114.0,5977,2100,7.05,
Parkside,2025-09-01,46086.0,6613,2452,6.97,
Parkside,2025-10-01,53025.0,7654,2741,6.93,
Parkside,2025-11-01,61957.0,8886,2975,6.97,
Parkside,2025-12-01,69724.0,10000,3473,6.97,
Parkside,2026-01-01,79973.0,11271,3749,7.1,2944.5
Parkside,2026-02-01,79413.0,11254,3906,7.06,1135.1
Parkside,2026-03-01,95067.0,13350,4432,7.12,656.8
Parkside,2026-04-01,96862.0,13792,4652,7.02,473.0
Parkside,2026-05-01,112796.0,15921,5054,7.08,383.8
Parkside,2026-06-01,109113.0,15259,5119,7.15,282.5
University,2025-01-01,5323.0,779,237,6.83,
University,2025-02-01,13777.0,1976,518,6.97,
University,2025-03-01,24479.0,3569,818,6.86,
University,2025-04-01,31609.0,4598,1050,6.87,
University,2025-05-01,43352.0,6233,1393,6.96,
University,2025-06-01,51872.0,7495,1702,6.92,
University,2025-07-01,65408.0,9253,1993,7.07,
University,2025-08-01,73876.0,10615,2322,6.96,
University,2025-09-01,84210.0,12016,2581,7.01,
University,2025-10-01,97451.0,14194,2981,6.87,
University,2025-11-01,108154.0,15641,3232,6.91,
University,2025-12-01,124372.0,17996,3598,6.91,
University,2026-01-01,140509.0,20036,3901,7.01,2539.4
University,2026-02-01,140337.0,19849,4108,7.07,918.7
University,2026-03-01,168240.0,23759,4553,7.08,587.3
University,2026-04-01,171702.0,24359,4796,7.05,443.2
University,2026-05-01,194535.0,27550,5250,7.06,348.7
University,2026-06-01,193233.0,27280,5183,7.08,272.5
