month,cold_drink_revenue,hot_drink_revenue,cold_share_pct
2025-01-01,1444.0,8040.0,15.2
2025-02-01,3896.0,19916.0,16.4
2025-03-01,6957.0,36218.0,16.1
2025-04-01,9228.0,49349.0,15.8
2025-05-01,30389.0,50176.0,37.7
2025-06-01,46722.0,52959.0,46.9
2025-07-01,57483.0,66144.0,46.5
2025-08-01,66823.0,76792.0,46.5
2025-09-01,60761.0,99052.0,38.0
2025-10-01,29648.0,151572.0,16.4
2025-11-01,32341.0,167703.0,16.2
2025-12-01,36843.0,194187.0,15.9
2026-01-01,42053.0,221342.0,16.0
2026-02-01,42065.0,220744.0,16.0
2026-03-01,49347.0,265068.0,15.7
2026-04-01,51731.0,274256.0,15.9
2026-05-01,140421.0,237732.0,37.1
2026-06-01,172380.0,206402.0,45.5
