cohort_month,cohort_customers,months_since_first,active_customers,retention_pct
2025-01-01,429,0,429,100.0
2025-01-01,429,1,406,94.6
2025-01-01,429,2,407,94.9
2025-01-01,429,3,410,95.6
2025-01-01,429,4,407,94.9
2025-01-01,429,5,413,96.3
2025-01-01,429,6,416,97.0
2025-01-01,429,7,414,96.5
2025-01-01,429,8,404,94.2
2025-01-01,429,9,417,97.2
2025-01-01,429,10,413,96.3
2025-01-01,429,11,418,97.4
2025-01-01,429,12,425,99.1
2025-02-01,500,0,500,100.0
2025-02-01,500,1,466,93.2
2025-02-01,500,2,462,92.4
2025-02-01,500,3,460,92.0
2025-02-01,500,4,464,92.8
2025-02-01,500,5,475,95.0
2025-02-01,500,6,473,94.6
2025-02-01,500,7,470,94.0
2025-02-01,500,8,482,96.4
2025-02-01,500,9,466,93.2
2025-02-01,500,10,474,94.8
2025-02-01,500,11,466,93.2
2025-02-01,500,12,467,93.4
2025-03-01,530,0,530,100.0
2025-03-01,530,1,488,92.1
2025-03-01,530,2,500,94.3
2025-03-01,530,3,490,92.5
2025-03-01,530,4,498,94.0
2025-03-01,530,5,508,95.8
2025-03-01,530,6,502,94.7
2025-03-01,530,7,509,96.0
2025-03-01,530,8,505,95.3
2025-03-01,530,9,507,95.7
2025-03-01,530,10,502,94.7
2025-03-01,530,11,502,94.7
2025-03-01,530,12,506,95.5
2025-04-01,492,0,492,100.0
2025-04-01,492,1,466,94.7
2025-04-01,492,2,457,92.9
2025-04-01,492,3,453,92.1
2025-04-01,492,4,469,95.3
2025-04-01,492,5,457,92.9
2025-04-01,492,6,465,94.5
2025-04-01,492,7,461,93.7
2025-04-01,492,8,471,95.7
2025-04-01,492,9,469,95.3
2025-04-01,492,10,459,93.3
2025-04-01,492,11,472,95.9
2025-04-01,492,12,478,97.2
2025-05-01,536,0,536,100.0
2025-05-01,536,1,504,94.0
2025-05-01,536,2,509,95.0
2025-05-01,536,3,498,92.9
2025-05-01,536,4,494,92.2
2025-05-01,536,5,506,94.4
2025-05-01,536,6,497,92.7
2025-05-01,536,7,514,95.9
2025-05-01,536,8,505,94.2
2025-05-01,536,9,504,94.0
2025-05-01,536,10,513,95.7
2025-05-01,536,11,508,94.8
2025-05-01,536,12,512,95.5
2025-06-01,558,0,558,100.0
2025-06-01,558,1,524,93.9
2025-06-01,558,2,531,95.2
2025-06-01,558,3,531,95.2
2025-06-01,558,4,527,94.4
2025-06-01,558,5,521,93.4
2025-06-01,558,6,527,94.4
2025-06-01,558,7,535,95.9
2025-06-01,558,8,517,92.7
2025-06-01,558,9,538,96.4
2025-06-01,558,10,519,93.0
2025-06-01,558,11,536,96.1
2025-06-01,558,12,528,94.6
2025-07-01,526,0,526,100.0
2025-07-01,526,1,495,94.1
2025-07-01,526,2,489,93.0
2025-07-01,526,3,496,94.3
2025-07-01,526,4,500,95.1
2025-07-01,526,5,498,94.7
2025-07-01,526,6,497,94.5
2025-07-01,526,7,489,93.0
2025-07-01,526,8,504,95.8
2025-07-01,526,9,498,94.7
2025-07-01,526,10,503,95.6
2025-07-01,526,11,501,95.2
2025-08-01,519,0,519,100.0
2025-08-01,519,1,489,94.2
2025-08-01,519,2,494,95.2
2025-08-01,519,3,490,94.4
2025-08-01,519,4,495,95.4
2025-08-01,519,5,488,94.0
2025-08-01,519,6,495,95.4
2025-08-01,519,7,489,94.2
2025-08-01,519,8,491,94.6
2025-08-01,519,9,488,94.0
2025-08-01,519,10,496,95.6
2025-09-01,532,0,532,100.0
2025-09-01,532,1,499,93.8
2025-09-01,532,2,508,95.5
2025-09-01,532,3,510,95.9
2025-09-01,532,4,502,94.4
2025-09-01,532,5,506,95.1
2025-09-01,532,6,505,94.9
2025-09-01,532,7,513,96.4
2025-09-01,532,8,512,96.2
2025-09-01,532,9,510,95.9
2025-10-01,562,0,562,100.0
2025-10-01,562,1,519,92.3
2025-10-01,562,2,531,94.5
2025-10-01,562,3,531,94.5
2025-10-01,562,4,534,95.0
2025-10-01,562,5,535,95.2
2025-10-01,562,6,532,94.7
2025-10-01,562,7,535,95.2
2025-10-01,562,8,538,95.7
2025-11-01,535,0,535,100.0
2025-11-01,535,1,503,94.0
2025-11-01,535,2,509,95.1
2025-11-01,535,3,506,94.6
2025-11-01,535,4,518,96.8
2025-11-01,535,5,506,94.6
2025-11-01,535,6,502,93.8
2025-11-01,535,7,511,95.5
2025-12-01,530,0,530,100.0
2025-12-01,530,1,511,96.4
2025-12-01,530,2,496,93.6
2025-12-01,530,3,503,94.9
2025-12-01,530,4,492,92.8
2025-12-01,530,5,506,95.5
2025-12-01,530,6,495,93.4
2026-01-01,548,0,548,100.0
2026-01-01,548,1,519,94.7
2026-01-01,548,2,520,94.9
2026-01-01,548,3,517,94.3
2026-01-01,548,4,521,95.1
2026-01-01,548,5,523,95.4
2026-02-01,496,0,496,100.0
2026-02-01,496,1,469,94.6
2026-02-01,496,2,471,95.0
2026-02-01,496,3,474,95.6
2026-02-01,496,4,473,95.4
2026-03-01,560,0,560,100.0
2026-03-01,560,1,524,93.6
2026-03-01,560,2,537,95.9
2026-03-01,560,3,532,95.0
2026-04-01,515,0,515,100.0
2026-04-01,515,1,488,94.8
2026-04-01,515,2,491,95.3
2026-05-01,526,0,526,100.0
2026-05-01,526,1,510,97.0
2026-06-01,92,0,92,100.0
